Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,https://stockcharts.com/h-sc/ui?s=$TED,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,<,HYY Daily,Unnamed: 36,Unnamed: 37,Unnamed: 38,Weekly,3,4,7,16,29,43,55,Unnamed: 47,>,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,3.1,P,AA,Z,Y,Unnamed: 59,0.015872,0.01877,0.0218,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
,T2Y,ADD 1,T10Y,ADD 2,T20Y,,,,,From,43826.0,To,45933,,Date,TED,HYS(US),HYS(EM),HYS(EU),HYY(US),HYY(EM),HYY(EU),T30Y,T20Y,T10Y,T2Y,T10Y-2Y,10Y BEI,5Y BEI,5-10 BEI,10Y TIPS,,,,HYY(US),HYY(EM),HYY(EU),,값으로 복붙,45933,45926,45905,45841,45751,45653,45569,Daily,HYY(EU),,,,,,304.0,Date,T2Y,T10Y,T20Y,U.S Recession,T2Y,T10Y,T20Y,,,,,
,,,,,,,,,,,,,,,40473,0.0016,0.0596,0.0629,0.0535,0.07400000000000001,0.07690000000000001,0.0705,0.0394,0.0359,0.02561,0.00359,0.02202,0.0209,0.015600000000000001,-0.005299999999999997,0.004710000000000002,,,44887.0,0.0861,0.11380000000000001,0.0718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40466,0.0015,0.059500000000000004,0.061200000000000004,0.055,0.07429999999999999,0.0756,0.0703,0.0398,0.0362,0.025670000000000002,0.00367,0.022000000000000002,0.0209,0.0158,-0.005099999999999997,0.004770000000000003,,,44886.0,0.0872,0.11410000000000001,0.0724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40459,0.0017000000000000001,0.061200000000000004,0.0636,0.0567,0.07490000000000001,0.07690000000000001,0.0716,0.0375,0.0339,0.02396,0.0034699999999999996,0.020489999999999998,0.0196,0.0148,-0.004799999999999999,0.004359999999999999,,,44883.0,0.0873,0.11380000000000001,0.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40452,0.0013,0.0622,0.0645,0.058899999999999994,0.07730000000000001,0.079,0.0745,0.0371,0.034,0.02513,0.00422,0.020909999999999998,0.0179,0.013300000000000001,-0.004599999999999998,0.00723,,,44882.0,0.0876,0.1139,0.0729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40445,0.0014000000000000002,0.0632,0.0658,0.060599999999999994,0.0786,0.08070000000000001,0.0755,0.0379,0.035,0.026099999999999998,0.00444,0.02166,0.0181,0.0131,-0.005000000000000001,0.007999999999999997,,,44881.0,0.0863,0.11320000000000001,0.0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40438,0.0013,0.062400000000000004,0.06570000000000001,0.059699999999999996,0.0789,0.0816,0.0753,0.039,0.036000000000000004,0.027389999999999998,0.00468,0.022709999999999998,0.0175,0.0125,-0.005000000000000001,0.009889999999999996,,,44880.0,0.0862,0.114,0.0717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40431,0.0015,0.0637,0.06570000000000001,0.0634,0.0812,0.0824,0.0785,0.0388,0.0358,0.02795,0.00571,0.02224,0.0179,0.0134,-0.004499999999999999,0.01005,,,44879.0,0.0873,0.11599999999999999,0.07200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40424,0.0015,0.0662,0.0668,0.06559999999999999,0.08289999999999999,0.08259999999999999,0.07980000000000001,0.0379,0.0349,0.02702,0.005180000000000001,0.02184,0.016200000000000003,0.0125,-0.003700000000000002,0.010819999999999996,,,44876.0,0.0882,0.11779999999999999,0.0723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40417,0.0015,0.0681,0.06849999999999999,0.0672,0.08380000000000001,0.08410000000000001,0.08070000000000001,0.0369,0.0341,0.026469999999999997,0.005600000000000001,0.020869999999999996,0.0161,0.0127,-0.0034000000000000002,0.010369999999999997,,,44875.0,0.0882,0.11810000000000001,0.07440000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40410,0.0018,0.068,0.0676,0.0665,0.0834,0.0828,0.0801,0.036699999999999997,0.0338,0.02614,0.0049499999999999995,0.02119,0.015700000000000002,0.0124,-0.0033000000000000026,0.010439999999999998,,,44874.0,0.0931,0.1208,0.0764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
